PE Firm Name,Founded,HQ,Estimated AUM,Investment Stage,Target Company Size,Healthcare Sub-sectors,Website,Key Healthcare Portfolio Companies (Current),Notable Exits / Realized Investments,Clearstart Relevance Notes
Frazier Healthcare Partners,1991,"Seattle, WA (+ NYC, Menlo Park)",>$11B,"Growth Equity, Buyout, Venture","EBITDA $5M–$50M; equity $30M–$350M","Healthcare Services, Pharmaceutical Services, Medical Products, Health IT, Revenue Cycle",https://www.frazierhealthcare.com,"RevSpring (patient engagement & payments), United Derm Partners (dermatology), AirLife (medical devices), KnipperHealth (pharma), DirectMed Parts (imaging equipment parts)","Accuity Delivery Systems, Critical Insight","Large diversified portfolio (~40 active companies); strong healthcare services and health IT plays — high overlap with Clearstart's GTM and digital health expertise"
Revelstoke Capital Partners,2013,"Denver, CO",~$5.6B,"Growth Equity, Buyout","Mid-market platform + add-ons","Healthcare Services, Health IT, Health & Wellness",https://revelstokecapital.com,"Evolve Medspa (aesthetics), Family Care Center (outpatient mental health), Fast Pace Health (rural urgent care), Griffin Concierge Medical (primary care), HealthAxis (claims processing), MediQuant (data archiving), Monte Nido (eating disorders), NakedMD (aesthetics)","Multiple exited platforms across behavioral health, urgent care, home care","191 acquisitions since inception across 28 platforms — deep multi-site healthcare services focus; many portfolio companies ripe for cohesive brand and GTM strategy"
Enhanced Healthcare Partners,2005,"New York, NY / Santa Monica, CA",~$700M committed ($521M Fund II),"Minority & Control","Enterprise value $50M–$250M; $10M–$50M+ equity checks","Healthcare IT, Care Delivery, Value-Based Care, Life Science Services & Technology",https://www.enhancedhealthcare.com,"Synergy Health Partners, Eventus WholeHealth (post-acute), Vytalize Health (VBC platform), Hallmark Health Care Solutions (workforce)","PAI Pharma (sold to Olympus Partners 2025), Janus","Founder-led mid-market focus; strong in VBC and health IT — exactly where Clearstart has domain expertise and proven case studies (e.g. Chamber, Credo Health)"
BelHealth Investment Partners,2011,"Fort Lauderdale / New York, NY",~$500M,"Buyout / Control","Revenue $20M–$150M; equity $20M–$50M","Healthcare Services, Home Health, Staffing, Emergency Medicine",https://www.belhealth.com,"American Health Staffing Group (national staffing platform), Care Advantage (home healthcare, Virginia), Integrated Care Physicians (ED management)","Multiple lower middle-market exits","Lower middle-market specialist — portfolio companies often under-resourced on marketing; ideal Clearstart prospect for brand, GTM, and demand gen builds from scratch"
Havencrest Capital Management,~2015,"Dallas, TX",Not publicly disclosed,"Buyout / Control — Lower Middle Market","Lower middle-market founder-owned","Healthcare Provider Services, Home Care, Behavioral Health, Clinical Research, Staffing",https://havencrest.com,"Tekton Research (clinical trial site network), Focus Staff Services (nurse & allied staffing), Avid Health at Home (home care platform), Deep Centered Mental Health (behavioral health)","Effective School Solutions, Apara Autism Centers (exited), The Oncology Institute","Founder-owned portfolio businesses in clinical services — typically under-invested in marketing infrastructure; strong Clearstart fit for building brand and outbound GTM"
TT Capital Partners (TripleTree),~2000,"Minneapolis, MN",Not publicly disclosed,"Growth Equity","Healthcare IT, technology-enabled services","Healthcare IT, EHR/RCM, Value-Based Care, Behavioral Health Tech, Compliance Tech",https://www.ttcapitalpartners.com,"Eating disorder treatment platform (20+ locations), Behavioral health EHR/RCM platform, VBC primary care/DCE platform, NP-physician compliance solution, Mid-cycle RCM/CDI platform","Multiple healthcare IT and tech-enabled services exits","Pure healthcare IT and tech-enabled services focus — very high alignment with Clearstart's growing GTM strategy offering; portfolio companies targeting health system and payer buyers"
Primus Capital,~1984,"Atlanta, GA / Pepper Pike, OH",Not publicly disclosed,"Growth Equity","EBITDA $3M–$20M+","Healthcare IT, Health Data Analytics, Revenue Cycle, Pharmacy, Lab Services",https://primuscapital.com,"RxAnte (pharmacy care management analytics), MDaudit (RCM audit), Lightbeam Health Solutions (population health), PurpleLab (health data analytics), CORL Technologies (vendor risk), Trilliant Health (market intelligence), Harmony Healthcare IT, Healthcare Bluebook","EnableComp, Exact Care Pharmacy, PathGroup, MEDHOST, Emmi Solutions, Payspan","Strong health IT and analytics portfolio — many companies targeting health system buyers; Clearstart well-positioned to help with enterprise GTM, content strategy, and thought leadership"
RoundTable Healthcare Partners,~2000,"Lake Forest, IL",Not publicly disclosed,"Buyout / Control","Medical products, devices, pharmaceutical","Medical Products, Devices, Pharmaceutical Distribution, Outsourced Manufacturing",https://roundtablehp.com,"Medical products and device portfolio companies (limited public disclosure)","Various medical product exits","More product/device focused than services/digital; lower immediate Clearstart fit but applicable for brand positioning, trade show strategy, and channel marketing for device/pharma clients"
Silver Oak Services Partners,2005,"Evanston, IL",~$500M (Fund IV),"Buyout / Control","Revenue $15M–$150M; EBITDA $3M–$20M","Healthcare Services, Home Care, Oncology, Physical Therapy, Dental/Vision",https://www.silveroaksp.com,"DASCO (home medical equipment), Caring People (private-pay home care) — limited current public disclosure post-ION exit","Integrated Oncology Network (sold to Cardinal Health for $1.115B, 2025), Physical Rehabilitation Network, BBG","Significant healthcare services portfolio history; proven ability to scale services businesses — Clearstart fit for brand consistency and patient/referral marketing across multi-site platforms"
Trinity Hunt Partners,~2002,"Dallas, TX",>$2B AUM,"Buyout / Control — Lower/Mid Market","Revenue $10M–$100M","Healthcare Services, Healthcare Advisory, Clinical Research, Medico-Legal",https://www.trinityhunt.com,"Acuvance (healthcare advisory platform — formerly Coker), Centricity Research (clinical trial site network), Juris Medicus (healthcare litigation support), Herringbone Digital (dental/healthcare digital marketing platform)","Improving, Argano (continuation fund)","Notably building Herringbone Digital as a healthcare marketing platform — both competitive intelligence AND potential partnership signal; Acuvance and Centricity are strong Clearstart GTM prospects"
